state,type,date,staff
W.P. Labuan,doctor,2015-01-01,57
W.P. Labuan,doctor,2016-01-01,57
W.P. Labuan,doctor,2017-01-01,71
W.P. Labuan,doctor,2018-01-01,110
W.P. Labuan,doctor,2019-01-01,116
W.P. Labuan,doctor,2020-01-01,105
W.P. Labuan,doctor,2021-01-01,103
W.P. Labuan,doctor,2022-01-01,102
W.P. Labuan,nurse,2014-01-01,211
W.P. Labuan,nurse,2015-01-01,230
W.P. Labuan,nurse,2016-01-01,231
W.P. Labuan,nurse,2017-01-01,230
W.P. Labuan,nurse,2018-01-01,230
W.P. Labuan,nurse,2019-01-01,232
W.P. Labuan,nurse,2020-01-01,225
W.P. Labuan,nurse,2021-01-01,284
W.P. Labuan,nurse,2022-01-01,359
W.P. Labuan,nurse_community,2014-01-01,111
W.P. Labuan,nurse_community,2015-01-01,112
W.P. Labuan,nurse_community,2016-01-01,109
W.P. Labuan,nurse_community,2017-01-01,111
W.P. Labuan,nurse_community,2018-01-01,112
W.P. Labuan,nurse_community,2019-01-01,114
W.P. Labuan,nurse_community,2020-01-01,104
W.P. Labuan,nurse_community,2021-01-01,103
W.P. Labuan,nurse_community,2022-01-01,110
W.P. Putrajaya,all,2014-01-01,7836
W.P. Putrajaya,all,2015-01-01,7936
W.P. Putrajaya,all,2016-01-01,7975
W.P. Putrajaya,all,2017-01-01,7152
W.P. Putrajaya,all,2018-01-01,5677
W.P. Putrajaya,all,2019-01-01,7248
W.P. Putrajaya,all,2020-01-01,3143
W.P. Putrajaya,all,2021-01-01,3129
W.P. Putrajaya,all,2022-01-01,3552
W.P. Putrajaya,dentist,2014-01-01,59
W.P. Putrajaya,dentist,2015-01-01,69
W.P. Putrajaya,dentist,2016-01-01,75
W.P. Putrajaya,dentist,2017-01-01,98
W.P. Putrajaya,dentist,2018-01-01,110
W.P. Putrajaya,dentist,2019-01-01,109
W.P. Putrajaya,dentist,2020-01-01,123
W.P. Putrajaya,dentist,2021-01-01,115
W.P. Putrajaya,dentist,2022-01-01,128
W.P. Putrajaya,doctor,2014-01-01,4373
W.P. Putrajaya,doctor,2015-01-01,4375
W.P. Putrajaya,doctor,2016-01-01,4449
W.P. Putrajaya,doctor,2017-01-01,4261
W.P. Putrajaya,doctor,2018-01-01,3776
W.P. Putrajaya,doctor,2019-01-01,5104
W.P. Putrajaya,doctor,2020-01-01,1383
W.P. Putrajaya,doctor,2021-01-01,1348
W.P. Putrajaya,doctor,2022-01-01,2023
W.P. Putrajaya,nurse,2014-01-01,2867
W.P. Putrajaya,nurse,2015-01-01,2952
W.P. Putrajaya,nurse,2016-01-01,2875
W.P. Putrajaya,nurse,2017-01-01,2312
W.P. Putrajaya,nurse,2018-01-01,1551
W.P. Putrajaya,nurse,2019-01-01,1675
W.P. Putrajaya,nurse,2020-01-01,1414
W.P. Putrajaya,nurse,2021-01-01,1471
W.P. Putrajaya,nurse,2022-01-01,1177
W.P. Putrajaya,nurse_community,2014-01-01,537
W.P. Putrajaya,nurse_community,2015-01-01,540
W.P. Putrajaya,nurse_community,2016-01-01,576
W.P. Putrajaya,nurse_community,2017-01-01,481
W.P. Putrajaya,nurse_community,2018-01-01,240
W.P. Putrajaya,nurse_community,2019-01-01,360
W.P. Putrajaya,nurse_community,2020-01-01,223
W.P. Putrajaya,nurse_community,2021-01-01,195
W.P. Putrajaya,nurse_community,2022-01-01,224
