state,type,date,staff
Kelantan,dentist,2018-01-01,542
Kelantan,dentist,2019-01-01,632
Kelantan,dentist,2020-01-01,663
Kelantan,dentist,2021-01-01,684
Kelantan,dentist,2022-01-01,664
Kelantan,doctor,2014-01-01,1580
Kelantan,doctor,2015-01-01,1658
Kelantan,doctor,2016-01-01,1732
Kelantan,doctor,2017-01-01,1945
Kelantan,doctor,2018-01-01,2144
Kelantan,doctor,2019-01-01,2763
Kelantan,doctor,2020-01-01,3076
Kelantan,doctor,2021-01-01,4006
Kelantan,doctor,2022-01-01,4056
Kelantan,nurse,2014-01-01,3235
Kelantan,nurse,2015-01-01,4818
Kelantan,nurse,2016-01-01,4861
Kelantan,nurse,2017-01-01,4901
Kelantan,nurse,2018-01-01,4726
Kelantan,nurse,2019-01-01,3606
Kelantan,nurse,2020-01-01,2403
Kelantan,nurse,2021-01-01,5323
Kelantan,nurse,2022-01-01,5688
Kelantan,nurse_community,2014-01-01,1676
Kelantan,nurse_community,2015-01-01,1683
Kelantan,nurse_community,2016-01-01,1687
Kelantan,nurse_community,2017-01-01,1671
Kelantan,nurse_community,2018-01-01,1672
Kelantan,nurse_community,2019-01-01,1682
Kelantan,nurse_community,2020-01-01,1577
Kelantan,nurse_community,2021-01-01,1576
Kelantan,nurse_community,2022-01-01,1689
Melaka,all,2014-01-01,3829
Melaka,all,2015-01-01,4056
Melaka,all,2016-01-01,4342
Melaka,all,2017-01-01,4503
Melaka,all,2018-01-01,4480
Melaka,all,2019-01-01,4947
Melaka,all,2020-01-01,5286
Melaka,all,2021-01-01,5463
Melaka,all,2022-01-01,5624
Melaka,dentist,2014-01-01,135
Melaka,dentist,2015-01-01,136
Melaka,dentist,2016-01-01,173
Melaka,dentist,2017-01-01,265
Melaka,dentist,2018-01-01,301
Melaka,dentist,2019-01-01,328
Melaka,dentist,2020-01-01,323
Melaka,dentist,2021-01-01,339
Melaka,dentist,2022-01-01,369
Melaka,doctor,2014-01-01,1092
Melaka,doctor,2015-01-01,1112
Melaka,doctor,2016-01-01,1175
Melaka,doctor,2017-01-01,1383
Melaka,doctor,2018-01-01,1354
Melaka,doctor,2019-01-01,1636
Melaka,doctor,2020-01-01,1290
Melaka,doctor,2021-01-01,2011
Melaka,doctor,2022-01-01,2121
Melaka,nurse,2014-01-01,1860
Melaka,nurse,2015-01-01,2072
Melaka,nurse,2016-01-01,2252
Melaka,nurse,2017-01-01,2148
Melaka,nurse,2018-01-01,2124
Melaka,nurse,2019-01-01,2264
Melaka,nurse,2020-01-01,2966
Melaka,nurse,2021-01-01,2460
Melaka,nurse,2022-01-01,2426
Melaka,nurse_community,2014-01-01,742
Melaka,nurse_community,2015-01-01,736
Melaka,nurse_community,2016-01-01,742
Melaka,nurse_community,2017-01-01,707
Melaka,nurse_community,2018-01-01,701
Melaka,nurse_community,2019-01-01,719
Melaka,nurse_community,2020-01-01,707
Melaka,nurse_community,2021-01-01,653
Melaka,nurse_community,2022-01-01,708
Negeri Sembilan,all,2014-01-01,5002
Negeri Sembilan,all,2015-01-01,5132
Negeri Sembilan,all,2016-01-01,5329
Negeri Sembilan,all,2017-01-01,5779
Negeri Sembilan,all,2018-01-01,6157
Negeri Sembilan,all,2019-01-01,6479
Negeri Sembilan,all,2020-01-01,8023
Negeri Sembilan,all,2021-01-01,7030
Negeri Sembilan,all,2022-01-01,7248
Negeri Sembilan,dentist,2014-01-01,203
